Generation,AverageFitness,StdDev,MaxFitness
1,-65.07,27.508035556942634,-13
2,-64.8,36.75389074436181,-7
3,-65.82,25.162654707307652,-21
4,-63.84,25.902973582275074,-15
5,-64.08,29.506951757513043,-11
6,-60.08,23.90920536132686,-2
7,-63.81,28.192231539768525,-6
8,-65.96,27.988424735806753,-2
9,-61.46,30.447975169445865,-12
10,-59.88,24.72281896907749,-8
11,-58.05,28.19749075447113,-14
12,-65.49,23.88841695563908,-15
13,-57.75,25.61579965410395,-9
14,-64.22,23.74169924054053,-18
15,-55.16,23.68254695557533,-18
16,-55.35,26.764734448542733,3
17,-56.97,21.50191675740617,11
18,-57.12,26.865275548615358,-10
19,-62.28,29.859631205987387,3
20,-62.65,28.11174491240631,-15
21,-59.06,25.766166838227093,-10
22,-61.67,27.700437585428908,8
23,-57.08,22.594215761087746,-8
24,-57.89,24.48743029442335,-11
25,-57.99,23.533125160037283,-13
26,-56.61,25.695141623083206,1
27,-55.83,22.366124728113615,-16
28,-64.32,32.98358330558958,-10
29,-61.05,28.400588626706917,-7
30,-55.41,25.279885803987057,-5
31,-60.86,28.863321242215232,-14
32,-59.56,22.17894169128578,-17
33,-61.98,30.867910178498946,-6
34,-58.14,26.032621338185937,-11
35,-58.07,22.618154413897457,-13
36,-64.05,30.71845922851173,3
37,-58.74,27.65246806162137,-15
38,-55.73,24.549621980672928,-4
39,-56.39,22.721811262984893,-11
40,-65.9,27.618066111832952,-15
41,-57.24,25.755697614235952,-10
42,-62.99,31.573065813260595,-1
43,-57.93,30.948068264318685,-6
44,-59.26,26.85976300503913,-17
45,-66.91,29.169340137212636,-4
46,-55.52,27.39109934325972,-17
47,-58.08,25.127022758919782,-14
48,-59.07,27.688474428209584,-6
49,-60.77,29.263296209595136,-13
50,-58.92,21.06492129325218,-16
51,-58.02,27.592994279949636,1
52,-61.02,27.80850098931489,-6
53,-60.68,26.164159308550932,-12
54,-57.41,25.775681515253048,-16
55,-60.94,28.29563267154188,-5
56,-58.69,28.616480029747358,-12
57,-59.99,26.75194508174248,-4
58,-61.47,26.54763395647282,-7
59,-62.57,29.041681992083255,7
60,-62.3,27.058671755496743,-8
61,-60.28,28.247849654460605,-8
62,-62.13,29.43428050227946,-6
63,-58.63,22.82682057084905,-16
64,-54.8,22.656414793897362,-10
65,-62.37,24.847679403058383,-4
66,-61.14,23.459408312739654,-11
67,-63.43,28.35712192089253,-16
68,-56.73,23.8982924879244,-8
69,-58.42,27.294569704494982,-18
70,-58.22,27.135492431407055,-3
71,-61.39,26.240109247740058,-17
72,-63.39,28.899650481966006,-10
73,-59.47,26.845030388614884,-2
74,-62.41,24.87711008257603,-1
75,-59.33,28.316057121518366,-2
76,-60.92,24.558188989920378,-4
77,-63.21,30.347913578792507,-2
78,-63.68,23.18737029967265,-16
79,-60.6,24.899393526345133,-18
80,-60.4,27.338137050167433,-9
81,-59.23,22.2641873959963,-15
82,-66.75,29.773004856443666,-6
83,-61.28,24.669975208088005,-16
84,-60.89,26.721872779587976,-1
85,-60.94,29.662689552957794,0
86,-60.49,27.347186068379795,-9
87,-59.2,26.640517482158106,3
88,-58.52,24.747810840842902,-14
89,-60.54,28.535082076120073,-5
